siret,nom,email,telephone,site,adresse,code_postal,ville,siren,organisme,domaines_rge,email_source,etat_sirene,procedure_collective,dirigeant,tranche_effectif,enrichi,departement,score,score_detail,effectif_num,tier
32062262400031,CABINET STREM,contact@strem.fr,04 78 17 39 09,http://www.strem.fr,115 rue Tronchet,69006,LYON,320622624,opqibi,Audit énergétique Maison individuelle; Audit énergétique Logement collectif;Etude forage géothermique;Etude solaire photovoltaïque,,A,,PIERRE JEAN LOUIS MARIE GERGELE,11,1,69,11,"RGE etudes, email, tel, site, domaine tertiaire, effectif cible",19,CHAUD
38803934900096,JLL INGENIERIE SAS Lyon,jll.ingenierie.contact@jll.com,04 78 89 26 26,http://www.jll.fr,102 Cr Charlemagne,69002,Lyon,388039349,opqibi,Etude thermique reglementaire,,A,,JEAN-PHILIPPE BUTI,12,1,69,11,"RGE etudes, email, tel, site, domaine tertiaire, effectif cible",49,CHAUD
49460879700010,BRP ETUDE CONSEIL,contact@brp-conseil.fr,04 28 29 59 88,http://www.brp-conseil.fr,19 Chemin des Quatre Vents,69530,BRIGNAIS,494608797,opqibi,Audit énergétique Maison individuelle; Audit énergétique Logement collectif,,A,,BERNARD MARCEL PONZIO,02,1,69,11,"RGE etudes, email, tel, site, domaine tertiaire, effectif cible",5,CHAUD
78912054000016,EPCO ENERGIES,be@epco-energies.fr,06 75 08 99 21,http://www.epco-energies.fr,19 rue de la République,69650,QUINCIEUX,789120540,opqibi,Audit énergétique Maison individuelle; Audit énergétique Logement collectif;Commisionnement;Etude bois énergie;Etude forage géothermique;Etude système technique bâtiment,,A,,ROMAIN FEVRE,03,1,69,11,"RGE etudes, email, tel, site, domaine tertiaire, effectif cible",9,CHAUD
78920729700043,EPPY VILLEURBANNE,secretariat.direction@eppygroup.fr,09 72 11 61 28,http://www.eppygroup.fr,58 Boulevard Niels Bohr,69100,VILLEURBANNE,789207297,opqibi,Commisionnement;Etude système technique bâtiment,,A,,GAGNERAUD CONSTRUCTION,01,1,69,11,"RGE etudes, email, tel, site, domaine tertiaire, effectif cible",2,CHAUD
79226941700038,ACTINEO,contact@actineo-conseil.fr,04 72 21 62 32,http://www.actineo-conseil.fr,97 allée Alexandre Borodine Le Parc Technologique - Bât Douglas 6,69800,ST PRIEST,792269417,opqibi,Audit énergétique Maison individuelle; Audit énergétique Logement collectif,,A,,LAURENT LUC JACQUEL,11,1,69,11,"RGE etudes, email, tel, site, domaine tertiaire, effectif cible",19,CHAUD
79488444500022,CABINET BAZIN,cabinet-bazin@cabinet-bazin.fr,04 78 85 79 32,http://www.cabinet-bazin.fr,513 rue de Sans Souci,69760,LIMONEST,794884445,opqtecc,Etude enveloppe du bâtiment,,A,,JEAN-PHILIPPE BROCHET,03,1,69,11,"RGE etudes, email, tel, site, domaine tertiaire, effectif cible",9,CHAUD
80086814300028,ENORKA,bfrecon@enorka.fr,04 72 41 88 55,http://www.enorka.fr,4 rue Duphot,69003,LYON,800868143,opqibi,Audit énergétique Maison individuelle; Audit énergétique Logement collectif,,A,,PAUL-MARIE JOSEPH DOMINIQUE BERNARD DUPUY,11,1,69,11,"RGE etudes, email, tel, site, domaine tertiaire, effectif cible",19,CHAUD
80108928500028,ATYC,architectes@atyc.fr,09 86 18 18 54,http://www.atyc.fr,2 PLACE DE LA GARE,69250,ALBIGNY SUR SAONE,801089285,cnoa,Audit énergétique Logement collectif;Audit énergétique Maison individuelle,,A,,YOANN CEDRIC CHAVEROT,01,1,69,11,"RGE etudes, email, tel, site, domaine tertiaire, effectif cible",2,CHAUD
80447608300030,GENIM,gabriel.riviere@genim.fr,06 62 41 62 29,http://www.genim.fr,"20A, rue Guyot",69300,CALUIRE ET CUIRE,804476083,opqibi,Audit énergétique Maison individuelle; Audit énergétique Logement collectif,,A,,GABRIEL RIVIERE,02,1,69,11,"RGE etudes, email, tel, site, domaine tertiaire, effectif cible",5,CHAUD
83221604800039,BASTIDE-BONDOUX  Ingéfluides,if@bastide-bondoux.fr,04 26 69 16 80,http://www.bastide-bondoux.fr,4 route des Troques,69630,CHAPONOST,832216048,opqibi,Audit énergétique Maison individuelle; Audit énergétique Logement collectif;Etude ACV;Etude thermique reglementaire,,A,,BASTIDE BONDOUX FEDERATEUR,12,1,69,11,"RGE etudes, email, tel, site, domaine tertiaire, effectif cible",49,CHAUD
90035108100022,ARPENTEUR,contact@arpenteur-architecture.com,06 61 22 44 08,https://arpenteur-architecture.com/,87 RUE TRONCHET,69006,LYON,900351081,cnoa,Audit énergétique Logement collectif;Audit énergétique Maison individuelle,,A,,ARIANE SCIOT,01,1,69,11,"RGE etudes, email, tel, site, domaine tertiaire, effectif cible",2,CHAUD
96550725400021,BUREAU D’ETUDE MATTE,bet@matte.fr,04 72 44 02 87,http://www.matte.fr,119 Bd de la Bataille de Stalingrad,69100,VILLEURBANNE,965507254,opqibi,Etude eclairage;Etude thermique reglementaire,,A,,PHILIPPE CARVALHO,12,1,69,11,"RGE etudes, email, tel, site, domaine tertiaire, effectif cible",49,CHAUD
97150167100020,BERGA,berga@berga.fr,04 78 83 11 11,http://www.berga.fr,113 rue Marietton,69009,LYON,971501671,opqibi,Etude bois énergie;Etude eclairage,,A,,ARNAUD DECHALONS,11,1,69,11,"RGE etudes, email, tel, site, domaine tertiaire, effectif cible",19,CHAUD
98013988500027,MAIMMO CONSEIL,m.espuche@maimmo.fr,06 43 15 17 76,http://www.maimmo.fr,8 Rue Pierre Dupont,69740,GENAS,980139885,opqibi,Audit énergétique Maison individuelle; Audit énergétique Logement collectif,,A,,SALOME INVEST,01,1,69,11,"RGE etudes, email, tel, site, domaine tertiaire, effectif cible",2,CHAUD
98037425000010,CONSULTANTS AKONOVIA FRANCE,gmoreau@akonovia.fr,06 66 60 38 21,http://www.akonovia.fr,"22, avenue Lionel Terray",69330,JONAGE,980374250,opqibi,Audit énergétique Maison individuelle; Audit énergétique Logement collectif,,A,,PHILIPPE HUDON,02,1,69,11,"RGE etudes, email, tel, site, domaine tertiaire, effectif cible",5,CHAUD
