siret,nom,email,telephone,site,adresse,code_postal,ville,siren,organisme,domaines_rge,email_source,etat_sirene,procedure_collective,dirigeant,tranche_effectif,enrichi,departement,score,score_detail,effectif_num,tier
06850119600023,CET BATIMENT ET ENERGIE,contacts@be-cet.fr,04 76 90 62 18,http://www.be-cet.com/,47 chemin de la Taillat,38240,MEYLAN,068501196,opqibi,Audit énergétique Maison individuelle; Audit énergétique Logement collectif;Etude ACV;Etude bois énergie;Etude eclairage;Etude enveloppe du bâtiment;Etude forage géothermique;Etude thermique reglementaire,,A,,PAUL CAIROLA,12,1,38,11,"RGE etudes, email, tel, site, domaine tertiaire, effectif cible",49,CHAUD
07250004400044,ASTI HAUTERIVES,audits@erac.be,04 76 56 12 86,http://www.erac.be,7 Chemin du Vivier,26390,HAUTERIVES,072500044,opqibi,Audit énergétique Maison individuelle;Audit énergétique Maison individuelle; Audit énergétique Logement collectif,,A,,HOLDING P.B,11,1,26,11,"RGE etudes, email, tel, site, domaine tertiaire, effectif cible",19,CHAUD
32062262400031,CABINET STREM,contact@strem.fr,04 78 17 39 09,http://www.strem.fr,115 rue Tronchet,69006,LYON,320622624,opqibi,Audit énergétique Maison individuelle; Audit énergétique Logement collectif;Etude forage géothermique;Etude solaire photovoltaïque,,A,,PIERRE JEAN LOUIS MARIE GERGELE,11,1,69,11,"RGE etudes, email, tel, site, domaine tertiaire, effectif cible",19,CHAUD
32062262400049,STREM GRENOBLE,contact@strem.fr,04 78 17 39 09,http://www.strem.fr,11 RUE PAUL VERLAINE,38000,GRENOBLE,320622624,opqibi,Audit énergétique Maison individuelle; Audit énergétique Logement collectif;Etude forage géothermique;Etude solaire photovoltaïque,,A,,PIERRE JEAN LOUIS MARIE GERGELE,11,1,38,11,"RGE etudes, email, tel, site, domaine tertiaire, effectif cible",19,CHAUD
33867687700016,COTIB,c.cazaux@cotib.fr,04 76 09 27 90,http://www.cotib.fr,22 rue Paul Helbronner,38100,GRENOBLE,338676877,opqibi,Audit énergétique Maison individuelle; Audit énergétique Logement collectif;Etude bois énergie;Etude système technique bâtiment,,A,,CHRISTIAN FRANCOIS MARTIAL CAZAUX,12,1,38,11,"RGE etudes, email, tel, site, domaine tertiaire, effectif cible",49,CHAUD
34914720700022,ADF (Agence Des Fluides),contact@adf.coop,04 79 69 80 09,http://www.adf.coop,Centre Commercial du Château Rue Massenet,73160,COGNIN,349147207,opqibi,Etude thermique reglementaire,,A,,JEAN-MARC BREMU,02,1,73,11,"RGE etudes, email, tel, site, domaine tertiaire, effectif cible",5,CHAUD
38803934900096,JLL INGENIERIE SAS Lyon,jll.ingenierie.contact@jll.com,04 78 89 26 26,http://www.jll.fr,102 Cr Charlemagne,69002,Lyon,388039349,opqibi,Etude thermique reglementaire,,A,,JEAN-PHILIPPE BUTI,12,1,69,11,"RGE etudes, email, tel, site, domaine tertiaire, effectif cible",49,CHAUD
43947216800079,GBA&CO,fbayle@gba-eco.com,04 77 93 08 90,http://www.gba-eco.com,7 rue Pablo Picasso CS 70626,42041,SAINT ETIENNE CEDEX 1,439472168,opqtecc,Etude enveloppe du bâtiment,,A,,JLF INVEST,12,1,42,11,"RGE etudes, email, tel, site, domaine tertiaire, effectif cible",49,CHAUD
44040888800053,THERMI FLUIDES 38,contact@thermi-fluides.fr,09 81 67 70 19,http://www.thermi-fluides.fr,"3, rue des Pins Bât B - 5ème étage",38100,GRENOBLE,440408888,opqibi,Audit énergétique Maison individuelle; Audit énergétique Logement collectif;Etude thermique reglementaire,,A,,BENJAMIN DEFAY,11,1,38,11,"RGE etudes, email, tel, site, domaine tertiaire, effectif cible",19,CHAUD
49460879700010,BRP ETUDE CONSEIL,contact@brp-conseil.fr,04 28 29 59 88,http://www.brp-conseil.fr,19 Chemin des Quatre Vents,69530,BRIGNAIS,494608797,opqibi,Audit énergétique Maison individuelle; Audit énergétique Logement collectif,,A,,BERNARD MARCEL PONZIO,02,1,69,11,"RGE etudes, email, tel, site, domaine tertiaire, effectif cible",5,CHAUD
78912054000016,EPCO ENERGIES,be@epco-energies.fr,06 75 08 99 21,http://www.epco-energies.fr,19 rue de la République,69650,QUINCIEUX,789120540,opqibi,Audit énergétique Maison individuelle; Audit énergétique Logement collectif;Commisionnement;Etude bois énergie;Etude forage géothermique;Etude système technique bâtiment,,A,,ROMAIN FEVRE,03,1,69,11,"RGE etudes, email, tel, site, domaine tertiaire, effectif cible",9,CHAUD
78920729700043,EPPY VILLEURBANNE,secretariat.direction@eppygroup.fr,09 72 11 61 28,http://www.eppygroup.fr,58 Boulevard Niels Bohr,69100,VILLEURBANNE,789207297,opqibi,Commisionnement;Etude système technique bâtiment,,A,,GAGNERAUD CONSTRUCTION,01,1,69,11,"RGE etudes, email, tel, site, domaine tertiaire, effectif cible",2,CHAUD
79065212700024,ECO 4 HOME,laurent.rimbert@eco4home.fr,04 81 65 64 09,http://www.eco4home.fr,150 rue georges Charpak Technopole Saône Vallée Est,01390,CIVRIEUX,790652127,opqibi,Audit énergétique Maison individuelle; Audit énergétique Logement collectif,,A,,LAURENT RIMBERT,01,1,01,11,"RGE etudes, email, tel, site, domaine tertiaire, effectif cible",2,CHAUD
79226941700038,ACTINEO,contact@actineo-conseil.fr,04 72 21 62 32,http://www.actineo-conseil.fr,97 allée Alexandre Borodine Le Parc Technologique - Bât Douglas 6,69800,ST PRIEST,792269417,opqibi,Audit énergétique Maison individuelle; Audit énergétique Logement collectif,,A,,LAURENT LUC JACQUEL,11,1,69,11,"RGE etudes, email, tel, site, domaine tertiaire, effectif cible",19,CHAUD
79273254700023,CORNIERE ARCHITECTE,contact@cornierecastaniearchitectes.fr,07 68 68 88 98,https://cornierecastaniearchitectes.fr/,9 RUE DE LA PARLETTE,63000,CLERMONT FERRAND,792732547,cnoa,Audit énergétique Logement collectif;Audit énergétique Maison individuelle,,A,,LUDERIC CORNIERE,01,1,63,11,"RGE etudes, email, tel, site, domaine tertiaire, effectif cible",2,CHAUD
79488444500022,CABINET BAZIN,cabinet-bazin@cabinet-bazin.fr,04 78 85 79 32,http://www.cabinet-bazin.fr,513 rue de Sans Souci,69760,LIMONEST,794884445,opqtecc,Etude enveloppe du bâtiment,,A,,JEAN-PHILIPPE BROCHET,03,1,69,11,"RGE etudes, email, tel, site, domaine tertiaire, effectif cible",9,CHAUD
79860459100015,BE ACT,admin@beact.pro,04 75 70 84 85,http://www.beact.pro,4 rue Paul Henri Spaak,26000,VALENCE,798604591,opqibi,Audit énergétique Maison individuelle; Audit énergétique Logement collectif;Etude ACV;Etude forage géothermique;Etude thermique reglementaire,,A,,JULIEN ALLIROL,11,1,26,11,"RGE etudes, email, tel, site, domaine tertiaire, effectif cible",19,CHAUD
80086814300028,ENORKA,bfrecon@enorka.fr,04 72 41 88 55,http://www.enorka.fr,4 rue Duphot,69003,LYON,800868143,opqibi,Audit énergétique Maison individuelle; Audit énergétique Logement collectif,,A,,PAUL-MARIE JOSEPH DOMINIQUE BERNARD DUPUY,11,1,69,11,"RGE etudes, email, tel, site, domaine tertiaire, effectif cible",19,CHAUD
80108928500028,ATYC,architectes@atyc.fr,09 86 18 18 54,http://www.atyc.fr,2 PLACE DE LA GARE,69250,ALBIGNY SUR SAONE,801089285,cnoa,Audit énergétique Logement collectif;Audit énergétique Maison individuelle,,A,,YOANN CEDRIC CHAVEROT,01,1,69,11,"RGE etudes, email, tel, site, domaine tertiaire, effectif cible",2,CHAUD
80447608300030,GENIM,gabriel.riviere@genim.fr,06 62 41 62 29,http://www.genim.fr,"20A, rue Guyot",69300,CALUIRE ET CUIRE,804476083,opqibi,Audit énergétique Maison individuelle; Audit énergétique Logement collectif,,A,,GABRIEL RIVIERE,02,1,69,11,"RGE etudes, email, tel, site, domaine tertiaire, effectif cible",5,CHAUD
81039973300015,IBI BRUN Philippe,info@bet-ibi.fr,04 79 60 06 67,http://www.bet-ibi.fr,110 rue des Tenettes,73190,ST BALDOPH,810399733,opqibi,Etude ACV;Etude bois énergie;Etude forage géothermique;Etude solaire photovoltaïque;Etude thermique reglementaire,,A,,FENCH HOLDING,02,1,73,11,"RGE etudes, email, tel, site, domaine tertiaire, effectif cible",5,CHAUD
83221604800039,BASTIDE-BONDOUX  Ingéfluides,if@bastide-bondoux.fr,04 26 69 16 80,http://www.bastide-bondoux.fr,4 route des Troques,69630,CHAPONOST,832216048,opqibi,Audit énergétique Maison individuelle; Audit énergétique Logement collectif;Etude ACV;Etude thermique reglementaire,,A,,BASTIDE BONDOUX FEDERATEUR,12,1,69,11,"RGE etudes, email, tel, site, domaine tertiaire, effectif cible",49,CHAUD
83519846600020,ABC EXPERTISE,leo.iraqi@easy-diags.fr,06 64 68 72 49,http://www.easy-diags.fr,"287, route des Creuses",74000,ANNECY,835198466,opqibi,Audit énergétique Maison individuelle; Audit énergétique Logement collectif,,A,,LEO REDOUANE PIERRE IRAQI,01,1,74,11,"RGE etudes, email, tel, site, domaine tertiaire, effectif cible",2,CHAUD
83756480600045,GBA ENERGIES,energies@gba-energies.com,04 77 90 88 50,http://www.gba-energies.com,7 rue Pablo Picasso,42000,ST ETIENNE,837564806,opqibi,Audit énergétique Maison individuelle; Audit énergétique Logement collectif;Etude bois énergie;Etude eclairage;Etude forage géothermique;Etude système technique bâtiment,,A,,JLF INVEST,11,1,42,11,"RGE etudes, email, tel, site, domaine tertiaire, effectif cible",19,CHAUD
90035108100022,ARPENTEUR,contact@arpenteur-architecture.com,06 61 22 44 08,https://arpenteur-architecture.com/,87 RUE TRONCHET,69006,LYON,900351081,cnoa,Audit énergétique Logement collectif;Audit énergétique Maison individuelle,,A,,ARIANE SCIOT,01,1,69,11,"RGE etudes, email, tel, site, domaine tertiaire, effectif cible",2,CHAUD
96550725400021,BUREAU D’ETUDE MATTE,bet@matte.fr,04 72 44 02 87,http://www.matte.fr,119 Bd de la Bataille de Stalingrad,69100,VILLEURBANNE,965507254,opqibi,Etude eclairage;Etude thermique reglementaire,,A,,PHILIPPE CARVALHO,12,1,69,11,"RGE etudes, email, tel, site, domaine tertiaire, effectif cible",49,CHAUD
97150167100020,BERGA,berga@berga.fr,04 78 83 11 11,http://www.berga.fr,113 rue Marietton,69009,LYON,971501671,opqibi,Etude bois énergie;Etude eclairage,,A,,ARNAUD DECHALONS,11,1,69,11,"RGE etudes, email, tel, site, domaine tertiaire, effectif cible",19,CHAUD
98013988500027,MAIMMO CONSEIL,m.espuche@maimmo.fr,06 43 15 17 76,http://www.maimmo.fr,8 Rue Pierre Dupont,69740,GENAS,980139885,opqibi,Audit énergétique Maison individuelle; Audit énergétique Logement collectif,,A,,SALOME INVEST,01,1,69,11,"RGE etudes, email, tel, site, domaine tertiaire, effectif cible",2,CHAUD
98037425000010,CONSULTANTS AKONOVIA FRANCE,gmoreau@akonovia.fr,06 66 60 38 21,http://www.akonovia.fr,"22, avenue Lionel Terray",69330,JONAGE,980374250,opqibi,Audit énergétique Maison individuelle; Audit énergétique Logement collectif,,A,,PHILIPPE HUDON,02,1,69,11,"RGE etudes, email, tel, site, domaine tertiaire, effectif cible",5,CHAUD
07250004400069,ASSISTANCE SCES TRAITEMENT INFORMATION,audits@erac.be,04 85 98 92 26,,340 RUE DE L'EYGALA ZONE CENTR'ALP,38430,MOIRANS,072500044,qualibat,Audit énergétique Maison individuelle;Audit énergétique Maison individuelle; Audit énergétique Logement collectif,,A,,HOLDING P.B,11,1,38,10,"RGE etudes, email, tel, domaine tertiaire, effectif cible",19,CHAUD
34814697800021,MG PLUS,mgplus@mgplus.fr,04 72 33 25 59,,73 cours Albert Thomas,69447,LYON CEDEX,348146978,opqibi,Audit énergétique Maison individuelle; Audit énergétique Logement collectif;Etude thermique reglementaire,,A,,BERNARD MEZERETTE,11,1,69,10,"RGE etudes, email, tel, domaine tertiaire, effectif cible",19,CHAUD
