siret,nom,email,telephone,site,adresse,code_postal,ville,siren,organisme,domaines_rge,email_source,etat_sirene,procedure_collective,dirigeant,tranche_effectif,enrichi,departement,score,score_detail,effectif_num,tier
06850119600023,CET BATIMENT ET ENERGIE,contacts@be-cet.fr,04 76 90 62 18,http://www.be-cet.com/,47 chemin de la Taillat,38240,MEYLAN,068501196,opqibi,Audit énergétique Maison individuelle; Audit énergétique Logement collectif;Etude ACV;Etude bois énergie;Etude eclairage;Etude enveloppe du bâtiment;Etude forage géothermique;Etude thermique reglementaire,,A,,PAUL CAIROLA,12,1,38,11,"RGE etudes, email, tel, site, domaine tertiaire, effectif cible",49,CHAUD
07250004400044,ASTI HAUTERIVES,audits@erac.be,04 76 56 12 86,http://www.erac.be,7 Chemin du Vivier,26390,HAUTERIVES,072500044,opqibi,Audit énergétique Maison individuelle;Audit énergétique Maison individuelle; Audit énergétique Logement collectif,,A,,HOLDING P.B,11,1,26,11,"RGE etudes, email, tel, site, domaine tertiaire, effectif cible",19,CHAUD
30332094900033,SERAT,mritzenthaler@serat.fr,03 89 66 16 15,http://www.serat-mulhouse.fr/,32 allée Nathan Katz Les Espaces Rhénans,68100,MULHOUSE,303320949,opqibi,Audit énergétique Maison individuelle; Audit énergétique Logement collectif;Etude bois énergie;Etude eclairage;Etude système technique bâtiment;Etude thermique reglementaire,,A,,MICHAEL JASNY,03,1,68,11,"RGE etudes, email, tel, site, domaine tertiaire, effectif cible",9,CHAUD
32062262400031,CABINET STREM,contact@strem.fr,04 78 17 39 09,http://www.strem.fr,115 rue Tronchet,69006,LYON,320622624,opqibi,Audit énergétique Maison individuelle; Audit énergétique Logement collectif;Etude forage géothermique;Etude solaire photovoltaïque,,A,,PIERRE JEAN LOUIS MARIE GERGELE,11,1,69,11,"RGE etudes, email, tel, site, domaine tertiaire, effectif cible",19,CHAUD
32062262400049,STREM GRENOBLE,contact@strem.fr,04 78 17 39 09,http://www.strem.fr,11 RUE PAUL VERLAINE,38000,GRENOBLE,320622624,opqibi,Audit énergétique Maison individuelle; Audit énergétique Logement collectif;Etude forage géothermique;Etude solaire photovoltaïque,,A,,PIERRE JEAN LOUIS MARIE GERGELE,11,1,38,11,"RGE etudes, email, tel, site, domaine tertiaire, effectif cible",19,CHAUD
32493878600104,TECSOL PACA,agence.paca@tecsol.fr,04 90 51 55 26,http://www.tecsol.fr,"18, rue Notre Dame",84100,ORANGE,324938786,opqibi,Etude solaire photovoltaïque;Etude solaire thermique,,A,,ANDRE ROGER FERNAND JOFFRE,12,1,84,11,"RGE etudes, email, tel, site, domaine tertiaire, effectif cible",49,CHAUD
32493878600112,TECSOL PAYS DE LA LOIRE,agence.pdl@tecsol.fr,09 84 40 22 07,http://www.tecsol.fr,"13, rue de Terre Noire",49000,ANGERS,324938786,opqibi,Etude solaire photovoltaïque;Etude solaire thermique,,A,,ANDRE ROGER FERNAND JOFFRE,12,1,49,11,"RGE etudes, email, tel, site, domaine tertiaire, effectif cible",49,CHAUD
32629794200046,GEE  (Groupement Etude et Energie),secretariat@gee-ing.com,04 94 10 92 55,http://www.gee-ing.com,165 Chemin Des  Négadoux Immeuble CEMALOR - 1er étage,83140,SIX FOUR LES PLAGES,326297942,opqibi,Audit énergétique Maison individuelle; Audit énergétique Logement collectif,,A,,JEAN-NOEL BONI,11,1,83,11,"RGE etudes, email, tel, site, domaine tertiaire, effectif cible",19,CHAUD
33385535100024,V.R.I,rsichi@vri.fr,04 91 46 80 20,http://www.vri.fr,31 Avenue de Saint Roch - Le Delta,13740,LE ROVE,333855351,opqibi,Audit énergétique Maison individuelle; Audit énergétique Logement collectif,,A,,ROBERT SICHI,02,1,13,11,"RGE etudes, email, tel, site, domaine tertiaire, effectif cible",5,CHAUD
33867687700016,COTIB,c.cazaux@cotib.fr,04 76 09 27 90,http://www.cotib.fr,22 rue Paul Helbronner,38100,GRENOBLE,338676877,opqibi,Audit énergétique Maison individuelle; Audit énergétique Logement collectif;Etude bois énergie;Etude système technique bâtiment,,A,,CHRISTIAN FRANCOIS MARTIAL CAZAUX,12,1,38,11,"RGE etudes, email, tel, site, domaine tertiaire, effectif cible",49,CHAUD
34229903900020,BAT’SUP,s.deraed@batsup.fr,03 20 37 99 91,http://www.bet-batsup.fr,10 rue de l'Avenir ZI de la Vignette BP 10012,59126,LINSELLES,342299039,opqibi,Etude enveloppe du bâtiment,,A,,DAVID MATON,03,1,59,11,"RGE etudes, email, tel, site, domaine tertiaire, effectif cible",9,CHAUD
34328753800031,COTEC COORDINATION TECHNIQUE DU BATIMENT,jparent@cotec-ing.com,01 48 43 37 52,http://www.cotec-ing.com,4 rue des Grilles,93500,PANTIN,343287538,opqibi,Etude eclairage;Etude enveloppe du bâtiment;Etude thermique reglementaire,,A,,XAVIER GERARD FRANCOIS MORICEAU,12,1,93,11,"RGE etudes, email, tel, site, domaine tertiaire, effectif cible",49,CHAUD
34388192600053,CINFORA,contact@cinfora.fr,04 97 02 24 30,http://www.cinfora.fr,81 avenue Simone Veil,06200,NICE,343881926,opqibi,Etude thermique reglementaire,,A,,GMBA ESSONNE,11,1,06,11,"RGE etudes, email, tel, site, domaine tertiaire, effectif cible",19,CHAUD
34900534800033,ATEC INGENIERIE,atecsa@atecsa.com,01 39 61 56 42,http://www.atecsa.com,3 allée des Pierres Mayettes,92230,GENNEVILLIERS,349005348,opqibi,Etude eclairage,,A,,HBS780,03,1,92,11,"RGE etudes, email, tel, site, domaine tertiaire, effectif cible",9,CHAUD
34914720700022,ADF (Agence Des Fluides),contact@adf.coop,04 79 69 80 09,http://www.adf.coop,Centre Commercial du Château Rue Massenet,73160,COGNIN,349147207,opqibi,Etude thermique reglementaire,,A,,JEAN-MARC BREMU,02,1,73,11,"RGE etudes, email, tel, site, domaine tertiaire, effectif cible",5,CHAUD
34934214700023,SARL MEDITERRANEENNE D’INGENIERIE,info@betsmi.fr,04 95 32 78 69,http://www.betsmi.fr,4 cours Pierangeli,20200,BASTIA,349342147,opqibi,Audit énergétique Maison individuelle; Audit énergétique Logement collectif;Etude thermique reglementaire,,A,,JEAN-NOEL LUCCIANI,02,1,20,11,"RGE etudes, email, tel, site, domaine tertiaire, effectif cible",5,CHAUD
34941014200021,BUREAU D'ETUDES THERMIQUES GERARD CALLU,contact@betcallu.fr,02 47 50 91 16,http://www.betcallu.fr,Rue Jacqueline Auriol,37700,LA VILLE AUX DAMES,349410142,opqibi,Etude ACV;Etude forage géothermique;Etude thermique reglementaire,,A,,THIERRY JACKY MUREAU,03,1,37,11,"RGE etudes, email, tel, site, domaine tertiaire, effectif cible",9,CHAUD
37946197300040,CREIBE,direction@cre-ingenierie.com,03 28 66 98 03,http://www.cre-ingenierie.com,117 rue Paul Machy,59240,DUNKERQUE,379461973,opqibi,Audit énergétique Maison individuelle;Audit énergétique Maison individuelle; Audit énergétique Logement collectif;Etude ACV;Etude thermique reglementaire,,A,,CRÉ-INGÉNIERIE & FINANCIER,03,1,59,11,"RGE etudes, email, tel, site, domaine tertiaire, effectif cible",9,CHAUD
37948682200024,AET LORIOT (Atelier d’Etudes Techniques Loriot),contact@groupe-loriot.com,03 85 42 72 20,http://www.groupe-loriot.com,21 route de Chalon,71380,EPERVANS,379486822,opqibi,Audit énergétique Maison individuelle;Etude ACV;Etude thermique reglementaire,,A,,ALEXANDRE PUGEAUT,11,1,71,11,"RGE etudes, email, tel, site, domaine tertiaire, effectif cible",19,CHAUD
38042967000041,ATELIER 11,contact@atelier11.fr,01 41 22 96 35,http://www.atelier11.fr,102/104 AVENUE EDOUARD VAILLANT,92100,BOULOGNE BILLANCOURT,380429670,cnoa,Audit énergétique Logement collectif;Audit énergétique Maison individuelle,,A,,CLAIRE DOUNIAU,11,1,92,11,"RGE etudes, email, tel, site, domaine tertiaire, effectif cible",19,CHAUD
38066321100015,CABINET HENRI BRUGNONI INGENIERIE - HBI,belfort@hbinet.com,03 84 57 02 42,http://www.cabinethbi.com,6 rue du Rhône,90000,BELFORT,380663211,opqtecc,Etude enveloppe du bâtiment,,A,,AURÉLIEN CORDIER,11,1,90,11,"RGE etudes, email, tel, site, domaine tertiaire, effectif cible",19,CHAUD
38069372100017,SINETIC,ajaccio@sinetic.fr,04 95 23 18 05,http://www.sinetic.fr,47 Route du Vittulo Villa l’Ulmiccia,20000,AJACCIO,380693721,opqibi,Audit énergétique Maison individuelle;Audit énergétique Maison individuelle; Audit énergétique Logement collectif;Etude thermique reglementaire,,A,,JEAN-VINCENT FEDERICCI,03,1,20,11,"RGE etudes, email, tel, site, domaine tertiaire, effectif cible",9,CHAUD
38442187100060,SUD ETUDES ENGINEERING (SEE),see@seesa.fr,04 92 30 46 46,http://www.seesa.fr,Résidence Les Pénitents 407 boulevard des Tilleuls,04190,LES MEES,384421871,opqibi,Audit énergétique Maison individuelle;Audit énergétique Maison individuelle; Audit énergétique Logement collectif;Etude bois énergie,,A,,CHRISTOPHE CHAUMETON,03,1,04,11,"RGE etudes, email, tel, site, domaine tertiaire, effectif cible",9,CHAUD
38777130600017,FERRO INGENIERIE (FI),avaugrente@ferro.fr,01 60 66 15 15,http://www.ferro-ingenierie.fr,"25, rue de la Fosse aux  Moines - BP 10019",77930,PERTHES EN GÂTINAIS,387771306,opqibi,Audit énergétique Maison individuelle; Audit énergétique Logement collectif;Etude solaire photovoltaïque,,A,,B.R.C,12,1,77,11,"RGE etudes, email, tel, site, domaine tertiaire, effectif cible",49,CHAUD
38803934900070,JLL INGENIERIE,melanie.pottelance@jll.com,06 64 20 88 03,http://www.jll.fr,40-42 rue de la Boétie,75008,PARIS,388039349,opqibi,Etude thermique reglementaire,,A,,JEAN-PHILIPPE BUTI,12,1,75,11,"RGE etudes, email, tel, site, domaine tertiaire, effectif cible",49,CHAUD
38803934900096,JLL INGENIERIE SAS Lyon,jll.ingenierie.contact@jll.com,04 78 89 26 26,http://www.jll.fr,102 Cr Charlemagne,69002,Lyon,388039349,opqibi,Etude thermique reglementaire,,A,,JEAN-PHILIPPE BUTI,12,1,69,11,"RGE etudes, email, tel, site, domaine tertiaire, effectif cible",49,CHAUD
38816917900032,JAUSSEIN EXPERTISE,rrcoupet@gmail.com,04 92 14 88 27,http://www.jaussein-expertise.fr,4 rue de France,06000,NICE,388169179,opqibi,Audit énergétique Maison individuelle;Audit énergétique Maison individuelle; Audit énergétique Logement collectif,,A,,SEBASTIEN MICHEL JAUSSEIN,03,1,06,11,"RGE etudes, email, tel, site, domaine tertiaire, effectif cible",9,CHAUD
38926087800043,ETHIS (Electricité Thermique Ingénierie Service),compta@ethis-ingenierie.com,02 97 21 81 60,http://www.ethis-ingenierie.fr,Centre d’affaire la Découverte - Bât Cordouan - CS 54485 39 rue de la Villeneuve,56100,LORIENT,389260878,opqibi,Audit énergétique Maison individuelle; Audit énergétique Logement collectif,,A,,COLLET & ASSOCIES,12,1,56,11,"RGE etudes, email, tel, site, domaine tertiaire, effectif cible",49,CHAUD
38937911600053,SARL AGATHE,be59@agathe-bet.com,03 28 21 20 69,http://www.agathe-bet.com,2 ROUTE DE BERGUESF CENTRE D AFFAIRES CREANOR,59210,COUDEKERQUE BRANCHE,389379116,opqibi,Etude thermique reglementaire,,A,,REGIS ANDRE MARCEL VANDEN BUSSCHE,11,1,59,11,"RGE etudes, email, tel, site, domaine tertiaire, effectif cible",19,CHAUD
38963472600043,ECONOMIE 80,contact@economie80.fr,02 35 60 12 12,http://www.economie80.fr,1170 route de Neufchatel 1er étage gauche,76230,ISNEAUVILLE,389634726,opqibi,Etude ACV;Etude thermique reglementaire,,A,,GREGORY FRANCIS JEAN-CLAUDE LARCHEVEQUE,12,1,76,11,"RGE etudes, email, tel, site, domaine tertiaire, effectif cible",49,CHAUD
